 input_1 input_2 class
0 0.8222166002311873 0.8658793273878078 orange
1 0.3330637998466799 0.8966037831769796 purple
2 0.7960224080142371 0.38547714182433457 black
3 0.4851756516387933 0.6185107418037894 purple
4 0.7279701381525956 0.6897221793676557 orange
5 0.8254926194665186 0.41400581277924653 black
6 0.07239773118888859 0.8472345041620256 purple
7 0.42661736328782107 0.0023280485447013666 green
8 0.4988452191327589 0.8454118385020019 purple
9 0.9393469209230826 0.6477240556600798 orange
10 0.26025445967052296 0.825940305693808 purple
11 0.6203075605847478 0.33720534368625377 black
12 0.3928117917617422 0.08143582191822551 green
13 0.9874902387525152 0.4697991009657356 black
14 0.691768733660388 0.4180134391706214 black
15 0.331781764822511 0.09772721384772742 green
16 0.4190077732635674 0.13831183428712668 green
17 0.48645204887636007 0.9326072070254762 purple
18 0.7528840054730453 0.9676972129293065 orange
19 0.5324961455120287 0.10044097014520936 black
20 0.8509867092615918 0.2904824552829939 black
21 0.15535106287520262 0.2777380894219471 green
22 0.22983201013390941 0.21885174803944918 green
23 0.683514269753739 0.8711221657576066 orange
24 0.862530547958797 0.18867249074545966 black
25 0.6490690516877496 0.7024409289924939 orange
26 0.831098608975194 0.31040213173726827 black
27 0.00903316122708353 0.3976857501189396 green
28 0.5790535104698512 0.7885702409426486 orange
29 0.8526783887630378 0.6504191501144359 orange
30 0.02955467188685068 0.11369980958926906 green
31 0.1524505562894617 0.31363053522347184 green
32 0.8040169581542462 0.7126720845878609 orange
33 0.7159779629363993 0.4687561324583518 black
34 0.4841140288741914 0.4937576537401226 green
35 0.9921159935296259 0.9289819976665245 orange
36 0.7138720902447678 0.6131796379919565 orange
37 0.39560815619543 0.6487055846946949 purple
38 0.94216350729197 0.8599189598280779 orange
39 0.9001001625728317 0.9678906287488338 orange
40 0.3636490985656631 0.10888360773015815 green
41 0.5906937600791556 0.146089527234608 black
42 0.6311196418849442 0.5669605904195618 orange
43 0.0564280647707629 0.5452687701077518 purple
44 0.01500637386380288 0.25102959116835377 green
45 0.4455396523223808 0.5502501386832981 purple
46 0.7303156446322655 0.48146757419482544 black
47 0.6329787443831281 0.8943516881306252 orange
48 0.6626633552689059 0.8708455181851577 orange
49 0.341939727391132 0.4881892666897798 green
50 0.3464758363742214 0.5666158527368178 purple
51 0.47650269664778566 0.0682726072590717 green
52 0.388718167810002 0.37726290955092046 green
53 0.42985029688843746 0.9213980635800341 purple
54 0.9911330007377384 0.3389294076589965 black
55 0.3027781240659063 0.355367665562376 green
56 0.26047952679761155 0.9803116885569141 purple
57 0.2224614933129403 0.8129407346512083 purple
58 0.789927148467744 0.39825928863687987 black
59 0.1382484802452485 0.10759905725244201 green
60 0.04115080019446604 0.12296926910046535 green
61 0.013085173770019276 0.30349265865525266 green
62 0.23154733638248404 0.46903709129841786 green
63 0.6631104517153518 0.14545473079819915 black
64 0.1272809581721026 0.447429691892568 green
65 0.7809226433582697 0.33961523834196805 black
66 0.6244624419145021 0.38260231012502677 black
67 0.6066211392711826 0.8030936622396778 orange
68 0.601925070774419 0.9194430700668094 orange
69 0.22538234540965008 0.8123094744113154 purple
70 0.7182501537106892 0.9431266804181115 orange
71 0.24973462339257912 0.014369839462450296 green
72 0.6764708401675904 0.5562287902761858 orange
73 0.4619937825559933 0.6290679029894503 purple
74 0.41263170307104446 0.4878246812967213 green
75 0.6312977102172872 0.6588368293557209 orange
76 0.39648447337397663 0.8162342454977147 purple
77 0.767200032152424 0.7308134703035978 orange
78 0.11052354079888416 0.8099362736119241 purple
79 0.20075375986245925 0.9782500609954665 purple
80 0.9251931483268692 0.2096050047232253 black
81 0.7045561054797853 0.1404243754513551 black
82 0.9758723032955884 0.5891561490706572 orange
83 0.38462457425604235 0.49071141461546375 green
84 0.38141406594016913 0.8386953280022994 purple
85 0.09479161630931321 0.007147779866032433 green
86 0.7456601387416197 0.36166316182463043 black
87 0.7797311747921125 0.12035309162786778 black
88 0.6641613628665691 0.6629250111298951 orange
89 0.8850338271381377 0.5511447551244842 orange
90 0.34899864179440854 0.9318005537561557 purple
91 0.9740379211994757 0.4440359695049729 black
92 0.36164220918985823 0.2622955801337091 green
93 0.29352614714225556 0.7899138422069286 purple
94 0.6196692497800087 0.37589883175825434 black
95 0.9339469423072418 0.6780760647704387 orange
96 0.2442307781265195 0.44812813839216226 green
97 0.09230545664161427 0.08430652852122056 green
98 0.4427092398160566 0.40314966676814534 green
99 0.5228393731483646 0.2766620923175116 black
